game_date,game_number,opp_team,opp_runs,tor_runs,game_park_id,game_park_factor,tor_home,tor_atbats,tor_hits,tor_doubles,tor_triples,tor_homeruns,tor_rbi,tor_walks,opp_pitcher_start_id,opp_pitcher_start_name,opp_pitcher_whip_game,opp_pitcher_whip_todate,opp_team_der_game,opp_team_der_todate,tor_batting_1_id,tor_batting_1_name,tor_batting_1_pos,tor_batting_2_id,tor_batting_2_name,tor_batting_2_pos,tor_batting_3_id,tor_batting_3_name,tor_batting_3_pos,tor_batting_4_id,tor_batting_4_name,tor_batting_4_pos,tor_batting_5_id,tor_batting_5_name,tor_batting_5_pos,tor_batting_6_id,tor_batting_6_name,tor_batting_6_pos,tor_batting_7_id,tor_batting_7_name,tor_batting_7_pos,tor_batting_8_id,tor_batting_8_name,tor_batting_8_pos,tor_batting_9_id,tor_batting_9_name,tor_batting_9_pos,galvf001,bichb001,gurrl001,fishd001,pillk001,hernt002,davij007,gricr001,mckib001,smoaj001,tellr001,sogae001,biggc002,guerv002,drurb001,jansd001,maill001,mcgur002,galvf001_ops_game,bichb001_ops_game,gurrl001_ops_game,fishd001_ops_game,pillk001_ops_game,hernt002_ops_game,davij007_ops_game,gricr001_ops_game,mckib001_ops_game,smoaj001_ops_game,tellr001_ops_game,sogae001_ops_game,biggc002_ops_game,guerv002_ops_game,drurb001_ops_game,jansd001_ops_game,maill001_ops_game,mcgur002_ops_game,galvf001_ops_todate,bichb001_ops_todate,gurrl001_ops_todate,fishd001_ops_todate,pillk001_ops_todate,hernt002_ops_todate,davij007_ops_todate,gricr001_ops_todate,mckib001_ops_todate,smoaj001_ops_todate,tellr001_ops_todate,sogae001_ops_todate,biggc002_ops_todate,guerv002_ops_todate,drurb001_ops_todate,jansd001_ops_todate,maill001_ops_todate,mcgur002_ops_todate
20190526,53,SDN,1,10,TOR02,1.031,1,40,17,3,0,4,10,1,erlir001,Robbie Erlin,2,1.256,0.5,0.72,sogae001,Eric Sogard,5,guerv002,Vladimir Guerrero,10,smoaj001,Justin Smoak,3,gricr001,Randal Grichuk,8,galvf001,Freddy Galvis,6,gurrl001,Lourdes Gurriel,7,biggc002,Cavan Biggio,4,drurb001,Brandon Drury,9,jansd001,Danny Jansen,2,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,3,0,0,0,0,1.1,0,2,0,1,2.25,1.4,0.5,0,0,0,0.747,0,0.673,0,0,0,0,0.703,0,0.798,0,0.816,0,0.711,0.64,0.515,0,0
20190527,54,TBA,8,3,STP01,0.895,0,30,4,1,0,2,3,5,chiry001,Yonny Chirinos,0.4,0.943,0.882,0.727,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,tellr001,Rowdy Tellez,3,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,gurrl001,Lourdes Gurriel,7,biggc002,Cavan Biggio,10,davij007,Jonathan Davis,8,maill001,Luke Maile,2,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1.833,0,1.167,0,0,0,1.25,0,0,0,0,0.25,0.25,0.25,0,0,0.667,0,0.728,0,0.855,0,0,0,0.229,0.712,0,0,0.768,0.825,0.9,0.746,0,0,0.445,0
20190528,55,TBA,3,1,STP01,0.895,0,32,6,2,0,0,1,2,stanr002,Ryne Stanek,1,1.115,0.786,0.729,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,9,gurrl001,Lourdes Gurriel,7,drurb001,Brandon Drury,6,jansd001,Danny Jansen,2,davij007,Jonathan Davis,8,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0.75,0,0,0,0,0.5,0,1,0.75,0.25,0,0,1,0,0,0,0,0,0.875,0,0,0,0.333,0.698,0,0.834,0.749,0.808,0,0.73,0.637,0.499,0,0
20190529,56,TBA,4,3,STP01,0.895,0,42,12,3,0,1,3,5,snelb001,Blake Snell,1.333,1.028,0.656,0.73,sogae001,Eric Sogard,4,gurrl001,Lourdes Gurriel,7,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,9,galvf001,Freddy Galvis,6,drurb001,Brandon Drury,5,jansd001,Danny Jansen,2,davij007,Jonathan Davis,8,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0.6,0,1.167,0,0,0,1,0.4,0,1,0.65,0.667,0,0,1,0.4,0,0,0.746,0,0.866,0,0,0,0.31,0.694,0,0.838,0.749,0.792,0,0,0.644,0.483,0,0
20190531,57,COL,13,6,DEN02,1.394,0,34,11,2,0,2,6,5,marqg001,German Marquez,1.286,1.137,0.64,0.692,galvf001,Freddy Galvis,6,guerv002,Vladimir Guerrero,5,tellr001,Rowdy Tellez,3,gurrl001,Lourdes Gurriel,7,gricr001,Randal Grichuk,9,biggc002,Cavan Biggio,4,davij007,Jonathan Davis,8,maill001,Luke Maile,2,jacke001,Edwin Jackson,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0.2,0,0.6,0,0,0,1.25,1.2,0,0,0,0,1,2.55,0,0,0.833,0,0.743,0,0.895,0,0,0,0.341,0.691,0,0,0.747,0,0.695,0.711,0,0,0.455,0
20190601,58,COL,4,2,DEN02,1.394,0,32,4,2,0,1,2,3,grayj003,Jon Gray,0.806,1.395,0.864,0.691,galvf001,Freddy Galvis,6,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,gurrl001,Lourdes Gurriel,7,gricr001,Randal Grichuk,9,biggc002,Cavan Biggio,4,jansd001,Danny Jansen,2,davij007,Jonathan Davis,8,strom001,Marcus Stroman,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1.25,0,0,0.5,0.75,0,1.167,0,0,0.731,0,0.874,0,0,0,0.405,0.7,0,0.841,0,0,0.76,0.781,0,0.483,0,0
20190602,59,COL,5,1,DEN02,1.394,0,33,6,0,0,0,1,4,senza001,Antonio Senzatela,1.167,1.721,0.76,0.694,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,gricr001,Randal Grichuk,8,biggc002,Cavan Biggio,9,drurb001,Brandon Drury,7,galvf001,Freddy Galvis,6,maill001,Luke Maile,2,sanca006,Aaron Sanchez,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.25,0,0.8,0.25,0.5,0.25,0,1,0,0.718,0,0,0,0,0,0,0.688,0,0.851,0,0.78,0.748,0.78,0.658,0,0.476,0
20190604,60,NYA,3,4,TOR02,1.031,1,31,8,1,0,2,4,2,tanam001,Masahiro Tanaka,1.333,1.208,0.75,0.717,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,tellr001,Rowdy Tellez,10,gricr001,Randal Grichuk,8,biggc002,Cavan Biggio,9,gurrl001,Lourdes Gurriel,7,galvf001,Freddy Galvis,6,jansd001,Danny Jansen,2,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1.667,0,0.25,0,0,0,0,1.25,0,0.833,0.5,1.75,0.25,0.5,0,0,0,0,0.704,0,0.842,0,0,0,0,0.676,0,0.858,0.73,0.781,0.681,0.771,0,0.5,0,0
20190605,61,NYA,7,11,TOR02,1.031,1,35,10,2,0,4,10,6,paxtj001,James Paxton,1.667,1.16,0.75,0.718,gurrl001,Lourdes Gurriel,7,guerv002,Vladimir Guerrero,10,smoaj001,Justin Smoak,3,gricr001,Randal Grichuk,9,drurb001,Brandon Drury,5,hernt002,Teoscar Hernandez,8,biggc002,Cavan Biggio,4,galvf001,Freddy Galvis,6,jansd001,Danny Jansen,2,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0.4,0,0,1.2,0,2.6,0,0,0,0,1.25,1.85,1.4,0.833,0,0,0.718,0,0.818,0,0,0.562,0,0.686,0,0.857,0,0,0.63,0.762,0.651,0.489,0,0
20190606,62,NYA,6,2,TOR02,1.031,1,34,8,1,0,1,1,0,happj001,J.A. Happ,0.571,1.248,0.759,0.719,sogae001,Eric Sogard,4,guerv002,Vladimir Guerrero,5,smoaj001,Justin Smoak,3,gricr001,Randal Grichuk,10,gurrl001,Lourdes Gurriel,7,hernt002,Teoscar Hernandez,8,galvf001,Freddy Galvis,6,drurb001,Brandon Drury,9,maill001,Luke Maile,2,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0.5,0,0,0,0,1,0,0.5,0,2,0,0,0.667,0,0.667,0,0.705,0,0.804,0,0,0.585,0,0.72,0,0.837,0,0.81,0,0.798,0.671,0,0.505,0
