"game_date","game_number","opp_team","opp_runs","tor_runs","game_park_id","tor_atbats","tor_hits","tor_doubles","tor_triples","tor_homeruns","tor_rbi","tor_walks","opp_pitcher_start_id","opp_pitcher_start_name","opp_pitcher_whip","tor_batting_1_id","tor_batting_1_name","tor_batting_1_pos","tor_batting_2_id","tor_batting_2_name","tor_batting_2_pos","tor_batting_3_id","tor_batting_3_name","tor_batting_3_pos","tor_batting_4_id","tor_batting_4_name","tor_batting_4_pos","tor_batting_5_id","tor_batting_5_name","tor_batting_5_pos","tor_batting_6_id","tor_batting_6_name","tor_batting_6_pos","tor_batting_7_id","tor_batting_7_name","tor_batting_7_pos","tor_batting_8_id","tor_batting_8_name","tor_batting_8_pos","tor_batting_9_id","tor_batting_9_name","tor_batting_9_pos","galvf001","bichb001","gurrl001","fishd001","pillk001","hernt002","davij007","gricr001","mckib001","smoaj001","tellr001","sogae001","biggc002","guerv002","drurb001","jansd001","maill001","mcgur002","galvf001_ops_game","bichb001_ops_game","gurrl001_ops_game","fishd001_ops_game","pillk001_ops_game","hernt002_ops_game","davij007_ops_game","gricr001_ops_game","mckib001_ops_game","smoaj001_ops_game","tellr001_ops_game","sogae001_ops_game","biggc002_ops_game","guerv002_ops_game","drurb001_ops_game","jansd001_ops_game","maill001_ops_game","mcgur002_ops_game","galvf001_ops_todate","bichb001_ops_todate","gurrl001_ops_todate","fishd001_ops_todate","pillk001_ops_todate","hernt002_ops_todate","davij007_ops_todate","gricr001_ops_todate","mckib001_ops_todate","smoaj001_ops_todate","tellr001_ops_todate","sogae001_ops_todate","biggc002_ops_todate","guerv002_ops_todate","drurb001_ops_todate","jansd001_ops_todate","maill001_ops_todate","mcgur002_ops_todate","galvf001_ops_season","bichb001_ops_season","gurrl001_ops_season","fishd001_ops_season","pillk001_ops_season","hernt002_ops_season","davij007_ops_season","gricr001_ops_season","mckib001_ops_season","smoaj001_ops_season","tellr001_ops_season","sogae001_ops_season","biggc002_ops_season","guerv002_ops_season","drurb001_ops_season","jansd001_ops_season","maill001_ops_season","mcgur002_ops_season"
20190407,11,"CLE",3,1,"CLE08",29,3,2,0,0,1,2,"clevm001","Mike Clevinger",1.056,"brits001","Socrates Brito",9,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",3,"hernt002","Teoscar Hernandez",10,"mckib001","Billy McKinney",7,"hansa001","Alen Hanson",4,"urenr001","Richard Urena",5,"jansd001","Danny Jansen",2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,1.025,0.0,0.0,0.0,0.0,0.588,0.0,0.73,0.535,0.0,0.795,0.0,0.0,0.0,0.0,0.379,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.0,0.742,0.0,0.0,0.0,0.0,0.639,0.0,0.0
20190409,12,"BOS",5,7,"BOS07",35,10,2,0,0,5,2,"salec001","Chris Sale",1.088,"galvf001","Freddy Galvis",6,"hernt002","Teoscar Hernandez",7,"drurb001","Brandon Drury",5,"gricr001","Randal Grichuk",8,"jansd001","Danny Jansen",2,"gurrl001","Lourdes Gurriel",10,"urenr001","Richard Urena",4,"hansa001","Alen Hanson",3,"mckib001","Billy McKinney",9,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1.0,0.0,1.25,0.0,0.0,0.2,0.0,0.8,1.417,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,1.022,0.0,0.376,0.0,0.0,0.554,0.0,0.737,0.623,0.0,0.0,0.0,0.0,0.0,0.433,0.394,0.0,0.0,0.734,0.0,0.868,0.0,0.0,0.778,0.0,0.737,0.696,0.0,0.0,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190411,13,"BOS",7,6,"BOS07",31,8,0,0,3,6,5,"eovan001","Nathan Eovaldi",1.592,"mckib001","Billy McKinney",7,"galvf001","Freddy Galvis",6,"smoaj001","Justin Smoak",10,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",3,"jansd001","Danny Jansen",2,"drurb001","Brandon Drury",5,"gurrl001","Lourdes Gurriel",4,"brits001","Socrates Brito",9,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,2.75,0.0,1.25,0.0,0.0,0.0,0.0,0.25,0.0,1.833,1.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.179,0.0,0.455,0.0,0.0,0.0,0.0,0.704,0.545,0.74,0.923,0.0,0.0,0.0,0.397,0.413,0.0,0.0,0.734,0.0,0.868,0.0,0.0,0.0,0.0,0.737,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190412,14,"TBA",11,7,"TOR02",35,9,3,0,1,6,4,"stanr002","Ryne Stanek",1.299,"mckib001","Billy McKinney",9,"galvf001","Freddy Galvis",6,"smoaj001","Justin Smoak",3,"gricr001","Randal Grichuk",8,"hernt002","Teoscar Hernandez",7,"gurrl001","Lourdes Gurriel",10,"urenr001","Richard Urena",5,"hansa001","Alen Hanson",4,"maill001","Luke Maile",2,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0.6,0.0,1.0,0.0,0.0,1.25,0.0,0.833,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.12,0.0,0.5,0.0,0.0,0.616,0.0,0.716,0.497,0.715,0.0,0.0,0.0,0.0,0.0,0.0,0.904,0.0,0.734,0.0,0.868,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
20190413,15,"TBA",1,3,"TOR02",28,5,2,0,0,3,3,"snelb001","Blake Snell",1.271,"galvf001","Freddy Galvis",6,"smoaj001","Justin Smoak",10,"hernt002","Teoscar Hernandez",7,"gricr001","Randal Grichuk",8,"gurrl001","Lourdes Gurriel",4,"drurb001","Brandon Drury",5,"tellr001","Rowdy Tellez",3,"hansa001","Alen Hanson",9,"maill001","Luke Maile",2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.75,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.167,0.0,1.036,0.0,0.538,0.0,0.0,0.607,0.0,0.718,0.0,0.757,0.818,0.0,0.0,0.0,0.373,0.0,0.952,0.0,0.734,0.0,0.868,0.0,0.0,0.778,0.0,0.737,0.0,0.748,0.742,0.0,0.0,0.0,0.642,0.0,0.44,0.0
20190414,16,"TBA",8,4,"TOR02",35,8,2,0,2,4,4,"mortc002","Charlie Morton",1.087,"mckib001","Billy McKinney",7,"galvf001","Freddy Galvis",6,"smoaj001","Justin Smoak",3,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",10,"gurrl001","Lourdes Gurriel",4,"brits001","Socrates Brito",9,"drurb001","Brandon Drury",5,"jansd001","Danny Jansen",2,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,1.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.067,0.0,0.525,0.0,0.0,0.0,0.0,0.691,0.678,0.804,0.774,0.0,0.0,0.0,0.346,0.391,0.0,0.0,0.734,0.0,0.868,0.0,0.0,0.0,0.0,0.737,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190415,17,"MIN",3,5,"MIN04",35,11,4,0,1,5,2,"perem004","Martin Perez",1.52,"mckib001","Billy McKinney",9,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",8,"smoaj001","Justin Smoak",3,"hernt002","Teoscar Hernandez",7,"drurb001","Brandon Drury",5,"hansa001","Alen Hanson",4,"jansd001","Danny Jansen",10,"maill001","Luke Maile",2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0.4,0.0,0.0,0.0,0.0,2.25,0.0,2.0,0.0,1.75,0.0,0.0,0.0,0.0,1.167,0.5,0.0,0.0,1.014,0.0,0.0,0.0,0.0,0.705,0.0,0.774,0.614,0.871,0.0,0.0,0.0,0.0,0.394,0.401,0.768,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.0,0.0,0.0,0.0,0.642,0.639,0.44,0.0
20190416,18,"MIN",5,6,"MIN04",34,9,1,0,0,6,6,"gibsk002","Kyle Gibson",1.444,"sogae001","Eric Sogard",5,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",9,"smoaj001","Justin Smoak",3,"hernt002","Teoscar Hernandez",7,"tellr001","Rowdy Tellez",10,"hansa001","Alen Hanson",4,"brits001","Socrates Brito",8,"jansd001","Danny Jansen",2,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0.4,0.0,0.0,0.0,0.0,0.833,0.0,0.6,0.0,0.933,0.5,1.4,0.0,0.0,0.0,0.5,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.713,0.0,0.779,0.0,0.878,0.747,1.4,0.0,0.0,0.0,0.409,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.0,0.748,0.742,0.81,0.0,0.0,0.0,0.639,0.0,0.0
20190417,19,"MIN",4,1,"MIN04",33,8,0,0,0,1,1,"odorj001","Jake Odorizzi",1.208,"sogae001","Eric Sogard",4,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",8,"smoaj001","Justin Smoak",3,"hernt002","Teoscar Hernandez",7,"tellr001","Rowdy Tellez",10,"drurb001","Brandon Drury",5,"mckib001","Billy McKinney",9,"maill001","Luke Maile",2,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.667,0.5,0.0,0.833,0.0,0.0,0.5,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.7,0.0,0.764,0.616,0.851,0.681,1.181,0.0,0.0,0.401,0.0,0.671,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.81,0.0,0.0,0.642,0.0,0.44,0.0
20190418,20,"MIN",4,7,"MIN04",35,9,1,0,3,7,1,"pinem001","Michael Pineda",1.158,"sogae001","Eric Sogard",4,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",8,"smoaj001","Justin Smoak",10,"hernt002","Teoscar Hernandez",7,"tellr001","Rowdy Tellez",3,"drurb001","Brandon Drury",5,"mckib001","Billy McKinney",9,"jansd001","Danny Jansen",2,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.75,0.5,1.25,0.5,1.25,0.0,0.0,0.25,0.5,0.0,0.0,0.919,0.0,0.0,0.0,0.0,0.735,0.0,0.818,0.609,0.883,0.666,1.205,0.0,0.0,0.394,0.416,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.81,0.0,0.0,0.642,0.639,0.0,0.0
20190419,21,"OAK",1,5,"OAK01",33,7,3,0,1,5,3,"brooa001","Aaron Brooks",1.382,"sogae001","Eric Sogard",4,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",10,"smoaj001","Justin Smoak",3,"hernt002","Teoscar Hernandez",7,"mckib001","Billy McKinney",9,"drurb001","Brandon Drury",5,"brits001","Socrates Brito",8,"jansd001","Danny Jansen",2,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.25,0.75,0.0,0.5,0.0,0.0,1.25,1.167,0.0,0.0,0.873,0.0,0.0,0.0,0.0,0.713,0.0,0.777,0.649,0.877,0.0,1.034,0.0,0.0,0.444,0.462,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.0,0.81,0.0,0.0,0.642,0.639,0.0,0.0
20190420,22,"OAK",1,10,"OAK01",40,15,3,0,3,10,3,"fierm001","Michael Fiers",1.189,"sogae001","Eric Sogard",4,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",8,"smoaj001","Justin Smoak",10,"hernt002","Teoscar Hernandez",7,"tellr001","Rowdy Tellez",3,"drurb001","Brandon Drury",5,"mckib001","Billy McKinney",9,"maill001","Luke Maile",2,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0.8,0.0,0.0,0.0,0.0,0.833,0.0,0.0,1.15,1.75,2.0,0.667,0.0,0.0,2.55,0.0,0.25,0.0,0.869,0.0,0.0,0.0,0.0,0.719,0.0,0.73,0.68,0.932,0.791,0.935,0.0,0.0,0.567,0.0,0.622,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.81,0.0,0.0,0.642,0.0,0.44,0.0
20190421,23,"OAK",4,5,"OAK01",37,13,2,0,1,5,2,"andeb004","Brett Anderson",1.307,"hansa001","Alen Hanson",4,"galvf001","Freddy Galvis",6,"gricr001","Randal Grichuk",8,"smoaj001","Justin Smoak",3,"hernt002","Teoscar Hernandez",7,"drurb001","Brandon Drury",5,"tellr001","Rowdy Tellez",10,"jansd001","Danny Jansen",2,"mckib001","Billy McKinney",9,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.667,2.2,1.0,0.0,0.0,0.0,1.25,1.167,0.0,0.0,0.865,0.0,0.0,0.0,0.0,0.674,0.0,0.711,0.68,1.021,0.804,0.0,0.0,0.0,0.602,0.502,0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.0,0.0,0.0,0.642,0.639,0.0,0.0
20190423,24,"SFN",7,6,"TOR02",36,9,1,1,2,6,2,"samaj001","Jeff Samardzija",1.11,"sogae001","Eric Sogard",4,"urenr001","Richard Urena",6,"gricr001","Randal Grichuk",9,"smoaj001","Justin Smoak",3,"tellr001","Rowdy Tellez",10,"drurb001","Brandon Drury",5,"mckib001","Billy McKinney",7,"brits001","Socrates Brito",8,"maill001","Luke Maile",2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.67,0.987,0.885,1.006,0.0,0.0,0.573,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737,0.696,0.748,0.742,0.81,0.0,0.0,0.642,0.0,0.44,0.0
20190424,25,"SFN",4,0,"TOR02",28,2,0,0,0,0,2,"pomed001","Drew Pomeranz",1.433,"sogae001","Eric Sogard",4,"drurb001","Brandon Drury",5,"smoaj001","Justin Smoak",10,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",3,"hernt002","Teoscar Hernandez",7,"jansd001","Danny Jansen",2,"urenr001","Richard Urena",6,"hansa001","Alen Hanson",9,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0.0,0.7,0.0,0.938,0.866,0.939,0.0,0.0,0.546,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.0,0.748,0.742,0.81,0.0,0.0,0.642,0.639,0.0,0.0
20190426,26,"OAK",2,4,"TOR02",33,8,1,0,2,4,1,"fierm001","Michael Fiers",1.189,"sogae001","Eric Sogard",6,"smoaj001","Justin Smoak",3,"gricr001","Randal Grichuk",8,"tellr001","Rowdy Tellez",10,"guerv002","Vladimir Guerrero",5,"mckib001","Billy McKinney",9,"hernt002","Teoscar Hernandez",7,"drurb001","Brandon Drury",4,"jansd001","Danny Jansen",2,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,2.417,0.0,0.75,1.25,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.692,0.644,0.917,0.815,1.08,0.0,0.75,0.578,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.0,0.737,0.696,0.748,0.742,0.81,0.0,0.772,0.642,0.639,0.0,0.0
